mode,key,action
i,<A-e>,<up>
i,<A-i>,<down>
i,<A-n>,<left>
i,<A-o>,<right>
n, ,i <Esc>l
n,+,<cmd>res +1<CR>
n,+,vg<C-a>
n,-,<cmd>res -1<CR>
n,-,vg<C-x>
n,<BackSpace>,hx
n,<C-down>,<C-w>j
n,<C-left>,<C-w>h
n,<C-right>,<C-w>l
n,<C-up>,<C-w>k
n,<F3>,<cmd>set nornu nonu list!<CR>
n,<Return>,o<Esc>
n,<S-down>,<cmd>m .+1<CR>==
n,<S-Tab>,<<
n,<S-up>,<cmd>m .-2<CR>===
n,<Tab>,>>
n,d^,v^x
n,fd,<cmd>w !diff % -<CR>
n,ff,<C-w>T
n,fp,<cmd>Debugprint<CR>
n,fs,<cmd>sor i<CR>
n,fv,<cmd>set virtualedit=all<CR>
n,q,<cmd>q<CR>
t,<C-down>,<C-w>j
t,<C-left>,<C-w>h
t,<C-right>,<C-w>l
t,<C-up>,<C-w>k
v,+,g<C-a>
v,-,g<C-x>
v,<S-Tab>,<<<Esc>gv
v,<Tab>,>><Esc>gv
